P1,P2,P3,P4,P5,P6,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
312.8682,73.8868,159.0846,50,58.929,50,704.7686,4.417613,700.351,8353.79
314.2899,74.9413,160.1843,50,60.06,50,709.4755,4.474121,705.002,8407.49
315.2476,75.6518,160.9252,50,60.8228,50,712.6474,4.512502,708.135,8443.71
316.3444,76.4654,161.7736,50,61.6954,50,716.2788,4.556757,711.722,8485.24
317.3474,77.2095,162.5494,50,62.4932,50,719.5995,4.597516,715.002,8523.27
319.0632,78.4824,163.8767,50,63.8576,50,725.2799,4.667875,720.612,8588.42
319.8041,79.0321,164.4497,50,64.4466,50,727.7325,4.698503,723.034,8616.59
322.157,80.7776,166.2697,50,66.3164,50,735.5207,4.765377,728.281,8677.72
322.157,80.7776,166.2697,50,66.3164,50,735.5207,4.796757,730.724,8706.22
323.6836,81.9102,167.4505,50,67.529,50,740.5733,4.861307,735.712,8764.49
325.036,82.9135,168.4965,50,68.6029,50,745.0489,4.91902,740.13,8816.21
325.8572,83.5227,169.1316,50,69.2547,50,747.7662,4.954302,742.812,8847.64
327.4344,84.6929,170.3516,50,70.5066,50,752.9855,5.022587,747.963,8908.11
328.8889,85.7721,171.4765,50,71.6605,50,757.798,5.086152,752.712,8963.96
329.8131,86.4578,172.1913,50,72.3936,50,760.8558,5.126839,755.729,8999.5
331.4045,87.6385,173.4221,50,73.6554,50,766.1205,5.197438,760.923,9060.78
331.9836,88.0682,173.87,50,74.1145,50,768.0363,5.223301,762.813,9083.11
333.5806,89.2531,175.1051,50,75.3803,50,773.3191,5.29509,768.024,9144.76
334.4658,89.91,175.7897,50,76.0817,50,776.2472,5.335179,770.912,9178.97
335.9714,91.0271,176.9541,50,77.2743,50,781.2269,5.403847,775.823,9237.25
336.922,91.7324,177.6892,50,78.027,50,784.3706,5.447515,778.923,9274.09
337.5012,92.1622,178.1371,50,78.4856,50,786.2861,5.474246,780.812,9296.56
338.343,92.6617,178.7253,50,79.459,50,789.189,5.514258,783.824,9332.43
339.7716,93.7188,179.8286,51.3,80.5973,50,795.2163,5.581251,789.635,9401.71
340.5528,94.2967,180.4319,51.9293,81.2195,50,798.4302,5.618129,792.812,9439.63
341.3178,94.8627,181.0227,52.5455,81.8287,50,801.5774,5.654412,795.923,9476.81
341.8316,95.2428,181.4194,52.9594,82.2378,50,803.691,5.678871,798.012,9501.8
342.9629,96.0799,182.293,53.8708,83.1385,50,808.3451,5.733001,802.612,9556.87
343.9987,96.8462,183.0929,54.7052,83.9629,50,812.6059,5.78288,806.823,9607.35
344.715,97.3762,183.646,55.2823,84.533,50,815.5525,5.817554,809.735,9642.29
345.7237,98.1225,184.4249,56.095,85.3356,50,819.7017,5.866627,813.835,9691.55
346.6584,98.8141,185.1466,56.8481,86.0791,50,823.5463,5.912361,817.634,9737.25
346.7982,98.9175,185.2545,56.9608,86.1903,50,824.1213,5.919221,818.202,9744.08
347.3525,99.3277,185.6826,57.4075,86.6312,50,826.4015,5.946485,820.455,9771.21
348.1678,99.9309,186.3121,58.0644,87.2796,50,829.7548,5.98674,823.768,9811.14
348.9408,100.5028,186.909,58.6873,87.8942,50,832.9341,6.025083,826.909,9849.03
349.2071,100.6999,187.1146,58.9019,88.1059,50,834.0294,6.038331,827.991,9862.09
349.7845,101.1271,187.5604,59.3672,88.5649,50,836.4041,6.067127,830.337,9890.43
350.4976,101.6547,188.111,59.9419,89.1317,50,839.3369,6.10282,833.234,9925.44
351.4209,102.3379,188.824,60.686,89.8655,50,843.1343,6.149253,836.985,9970.83
352.0667,102.8157,189.3225,61.2065,90.3786,50,845.79,6.18187,839.608,10002.59
352.501,103.137,189.6578,61.5565,90.7236,50,847.5759,6.203874,841.372,10023.97
353.5803,103.9356,190.4912,62.4265,91.581,50,852.0146,6.258794,845.756,10077.15
354.3727,104.522,191.103,63.0652,92.2104,50,855.2733,6.299324,848.974,10116.23
354.8387,104.8667,191.4628,63.4408,92.5803,50,857.1893,6.323237,850.866,10139.22
355.5856,105.4194,192.0394,64.0429,93.1734,50,860.2607,6.361704,853.899,10176.11
356.103,105.8022,192.4389,64.46,93.5842,50,862.3883,6.388445,856,10201.68
356.9013,106.3929,193.0552,65.1035,94.2178,50,865.6707,6.429848,859.241,10241.16
357.6331,106.9344,193.6202,65.6935,94.7987,50,868.6799,6.467964,862.212,10277.39
358.4192,107.516,194.2271,66.3273,95.4224,50,871.912,6.509075,865.403,10316.33
359.2783,108.1517,194.8903,67.0199,96.104,50,875.4442,6.554204,868.89,10358.93
359.8612,108.583,195.3404,67.4899,96.5664,50,877.8409,6.584948,871.256,10387.86
360.6625,109.1759,195.959,68.136,97.202,50,881.1354,6.627364,874.508,10427.66
361.2771,109.6306,196.4334,68.6315,97.6894,50,883.662,6.660019,877.002,10458.2
362.1238,110.2572,197.0871,69.3143,98.3608,50,887.1432,6.705188,880.438,10500.33
362.7836,110.7454,197.5964,69.8463,98.8838,50,889.8555,6.740523,883.115,10533.17
363.7372,111.451,198.3326,70.6153,99.6397,50,893.7758,6.791815,886.984,10580.69
364.256,111.8349,198.7331,71.0337,100.0509,50,895.9086,6.819831,889.089,10606.57
365.0757,112.4414,199.3659,71.6948,100.7004,50,899.2782,6.864244,892.414,10647.48
365.8858,113.0408,199.9912,72.3481,101.3423,50,902.6082,6.908328,895.7,10687.95
367.1617,113.985,200.9762,73.3772,102.353,50,907.8531,6.978139,900.875,10751.76
368.3434,114.8594,201.8883,74.3304,103.2888,50,912.7103,7.043203,905.667,10810.94
369.0524,115.384,202.4356,74.9023,103.8501,50,915.6244,7.082432,908.542,10846.48
370.8336,116.7021,203.8106,76.3392,105.2601,50,922.9456,7.181618,915.764,10935.9
371.4733,117.1754,204.3043,76.8552,105.7663,50,925.5745,7.217454,918.357,10968.05
372.0949,117.6354,204.7841,77.3567,106.2582,50,928.1293,7.252394,920.877,10999.32
372.7038,118.086,205.2541,77.848,106.7399,50,930.6318,7.286721,923.345,11029.97
373.8684,118.9477,206.153,78.7876,107.661,50,935.4177,7.35267,928.065,11088.65
375.7862,120.3669,207.6333,80.3351,109.1776,50,943.2991,7.462116,935.837,11185.45
377.0173,121.2779,208.5835,81.3285,110.1507,50,948.3579,7.532918,940.825,11247.69
379.0346,122.7707,210.1404,82.9564,111.7448,50,956.6469,7.64986,948.997,11349.86
379.4878,123.1061,210.4902,83.3222,112.1029,50,958.5092,7.676295,950.833,11372.84
380.7233,124.0204,211.4438,84.3194,113.0788,50,963.5857,7.748645,955.837,11435.56
381.3261,124.4664,211.9089,84.8059,113.5548,50,966.0621,7.784098,958.278,11466.19
381.9711,124.9437,212.4067,85.3265,114.0641,50,968.7121,7.822151,960.89,11498.98
383.0439,125.7376,213.2347,86.1925,114.9111,50,973.1198,7.885701,965.234,11553.58
384.3092,126.674,214.2112,87.2139,115.9098,50,978.3181,7.961075,970.357,11618.06
385.5141,127.5656,215.141,88.1866,116.8606,50,983.2679,8.033268,975.2346,11679.55
386.8515,128.5553,216.1731,89.2663,117.9156,50,988.7618,8.113882,980.648,11747.89
387.3504,128.9245,216.5581,89.6691,118.3091,50,990.8112,8.14408,982.667,11773.4
388.2416,129.5841,217.2459,90.3887,119.0119,50,994.4722,8.198208,986.274,11819.02
389.302,130.3688,218.0642,91.2449,119.848,50,998.8279,8.262899,990.565,11873.36
390.065,130.9334,218.6529,91.8609,120.4494,50,1001.9616,8.309638,993.652,11912.49
391.371,131.8999,219.6607,92.9156,121.4788,50,1007.326,8.390032,998.936,11979.55
393.9415,133.7321,221.9221,95.4079,123.5116,50.8251,1019.3403,8.551406,1010.789,12130.32
394.9506,134.4774,222.7065,96.2317,124.3064,51.8365,1024.5091,8.610256,1015.899,12195.44
395.905,135.1823,223.4485,97.0109,125.0581,52.7932,1029.398,8.666146,1020.732,12257.09
396.8401,135.873,224.1755,97.7744,125.7944,53.7307,1034.1881,8.721118,1025.467,12317.56
397.3187,136.2264,224.5475,98.1651,126.1711,54.2105,1036.6393,8.749331,1027.89,12348.54
397.7366,136.5351,224.8724,98.5063,126.5001,54.6295,1038.78,8.774015,1030.006,12375.6
399.1379,137.5701,225.9618,99.6506,127.603,56.0347,1045.9581,8.857,1037.101,12466.43
399.2289,137.6373,226.0326,99.725,127.6747,56.126,1046.4245,8.8625,1037.562,12472.33
399.3968,137.7613,226.1631,99.8621,127.8068,56.2943,1047.2844,8.8724,1038.412,12483.22
399.5104,137.8452,226.2514,99.9548,127.8961,56.4082,1047.8661,8.8792,1038.987,12490.59
399.5331,137.862,226.2691,99.9734,127.914,56.431,1047.9826,8.8806,1039.102,12492.07
399.6895,137.9775,226.3907,100.1012,128.0371,56.5879,1048.7839,8.8899,1039.894,12502.22
399.7527,138.0242,226.4398,100.1528,128.0868,56.6513,1049.1076,8.8936,1040.214,12506.32
399.8005,138.0595,226.477,100.1918,128.1244,56.6992,1049.3524,8.8965,1040.456,12509.43
399.9581,138.1759,226.5995,100.3205,128.2485,56.8573,1050.1598,8.9059,1041.254,12519.66
400.1495,138.3173,226.7483,100.4768,128.3991,57.0493,1051.1403,8.9173,1042.223,12532.09
400.2173,138.3673,226.801,100.5322,128.4524,57.1172,1051.4874,8.9214,1042.566,12536.49
400.2742,138.4093,226.8452,100.5786,128.4971,57.1743,1051.7787,8.9248,1042.854,12540.18
400.3536,138.468,226.9069,100.6435,128.5596,57.2539,1052.1855,8.9295,1043.256,12545.34
400.5306,138.5987,227.0445,100.788,128.6988,57.4314,1053.092,8.9401,1044.152,12556.84
400.8531,138.8369,227.2953,101.0515,128.9526,57.755,1054.7444,8.9594,1045.785,12577.8
400.9857,138.9348,227.3983,101.1597,129.0568,57.8879,1055.4232,8.9673,1046.456,12586.41
401.1346,139.0448,227.5141,101.2814,129.174,58.0373,1056.1862,8.9762,1047.21,12596.1
401.3394,139.1961,227.6734,101.4487,129.3351,58.2428,1057.2355,8.9885,1048.247,12609.41
401.3497,139.2037,227.6814,101.4571,129.3432,58.2531,1057.2882,8.9891,1048.299,12610.08
401.595,139.3849,227.8721,101.6574,129.5362,58.4992,1058.5448,9.0039,1049.541,12626.04
401.7406,139.4924,227.9853,101.7763,129.6507,58.6452,1059.2905,9.0126,1050.278,12635.51
402.0375,139.7117,228.2161,102.0189,129.8842,58.9431,1060.8115,9.0305,1051.781,12654.83
402.1752,139.8134,228.3231,102.1313,129.9925,59.0812,1061.5167,9.0387,1052.478,12663.79
402.3593,139.9494,228.4662,102.2817,130.1373,59.2659,1062.4598,9.0498,1053.41,12675.77
402.6368,140.1544,228.682,102.5084,130.3555,59.5443,1063.8814,9.0666,1054.815,12693.85
402.8283,140.2957,228.8308,102.6648,130.5061,59.7364,1064.8621,9.07815,1055.784,12706.31
402.8954,140.3454,228.8831,102.7196,130.5589,59.8038,1065.2062,9.0822,1056.124,12710.69
403.2941,140.6398,229.193,103.0453,130.8723,60.2037,1067.2482,9.1062,1058.142,12736.66
403.6963,140.9369,229.5057,103.3738,131.1886,60.6073,1069.3086,9.1306,1060.178,12762.88
404.1507,141.2724,229.8589,103.745,131.5458,61.0632,1071.636,9.1581,1062.478,12792.51
404.2828,141.3701,229.9617,103.853,131.6497,61.1959,1072.3132,9.1661,1063.147,12801.13
404.6912,141.6717,230.2791,104.1866,131.9707,61.6056,1074.4049,9.1909,1065.214,12827.78
405.2702,142.0993,230.7293,104.6597,132.4258,62.1867,1077.371,9.2262,1068.145,12865.59
405.4815,142.2554,230.8935,104.8322,132.5918,62.3987,1078.4531,9.2391,1069.214,12879.39
405.7436,142.449,231.0973,105.0464,132.7979,62.6618,1079.796,9.2551,1070.541,12896.52
406.6497,143.1182,231.8017,105.7868,133.5099,63.5713,1084.4376,9.3105,1075.127,12955.76
407.3076,143.6041,232.3133,106.3244,134.0268,64.2317,1087.8079,9.3508,1078.457,12998.81
407.5218,143.7623,232.4798,106.4994,134.1951,64.4467,1088.9051,9.364,1079.541,13012.83
407.6548,143.8606,232.5831,106.608,134.2995,64.5802,1089.5862,9.3722,1080.214,13021.54
407.8577,144.0104,232.7409,106.7738,134.4589,64.7839,1090.6256,9.3847,1081.241,13034.83
408.0367,144.1426,232.8801,106.9201,134.5996,64.9636,1091.5427,9.3957,1082.147,13046.56
408.2278,144.2838,233.0286,107.0763,134.7496,65.1554,1092.5215,9.4075,1083.114,13059.08
408.6427,144.5902,233.3512,107.4154,135.0756,65.572,1094.6471,9.4331,1085.214,13086.27
