P1,P2,P3,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
33.6091,37.2405,47.958,118.8076,0.2281449,118.566,798339.5
33.9929,37.6657,48.5056,120.1642,0.2281449,119.92,816665.6
34.2018,37.8971,48.8036,120.9025,0.2281449,120.657,826728.1
34.8341,38.5977,49.7059,123.1377,0.2281449,122.888,857564.5
34.8956,38.6659,49.7937,123.3552,0.2281449,123.105,860593.9
34.9948,38.7758,49.9353,123.7059,0.2281449,123.455,865491.4
35.1898,38.9919,50.2135,124.3952,0.2281449,124.143,875159
35.4613,39.2927,50.601,125.355,0.2281449,125.101,888710
35.5052,39.3414,50.6637,125.5103,0.2281449,125.256,890912.2
35.7864,39.6529,51.0649,126.5042,0.2281449,126.248,905071.3
35.8102,39.6793,51.0989,126.5884,0.2281449,126.332,906275.4
36.2543,40.1714,51.7326,128.1583,0.2281449,127.899,928884.1
36.3487,40.2759,51.8673,128.4919,0.2281449,128.232,933724.5
36.7569,40.7282,52.4497,129.9348,0.2281449,129.672,954800.9
36.9224,40.9116,52.6859,130.5199,0.2281449,130.256,963415.6
37.1355,41.1477,52.9901,131.2733,0.2281449,131.008,974565.5
37.3249,41.3575,53.2602,131.9426,0.2281449,131.676,984523.7
37.6403,41.707,53.7104,133.0577,0.2281449,132.789,1001228
37.8475,41.9366,54.006,133.7901,0.2281449,133.52,1012276
38.1142,42.2321,54.3866,134.7329,0.2281449,134.461,1026587
38.5501,42.7151,55.0087,136.2739,0.2748832,135.999,1050193
38.7548,42.9418,55.3007,136.9973,0.2762757,136.721,1061368
38.8373,43.0332,55.4184,137.2889,0.2768372,137.012,1065888
38.9257,43.1312,55.5446,137.6015,0.2774395,137.324,1070745
39.3389,43.589,56.1343,139.0622,0.2802562,138.782,1093591
39.4027,43.6597,56.2253,139.2877,0.2806912,139.007,1097138
39.7326,44.0252,56.6961,140.4539,0.2829434,140.171,1115580
40.0345,44.3597,57.1268,141.521,0.2850064,141.236,1132587
40.4228,44.7899,57.6809,142.8936,0.2876634,142.606,1154655
40.4676,44.8396,57.7448,143.052,0.28797,142.764,1157214
40.6889,45.0848,58.0607,143.8344,0.2894866,143.545,1169904
